Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified,texto_fuente_estricto,label_cervecero_estricto,label_final,label_justificacion
1580.171,Lactobacillus brevis strain BDGP6,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,BDGP6,,,,,,,,,,,,,,,,,,,,Good,2017-11-08T00:00:00Z,,,PRJNA397225,SAMN07965606,GCA_002762175.1,,CP024635,Lawrence Berkeley National Laboratory,Complete,PacBio,70.0x,Celera Assembler v. 2015-09-30,,,1,2785111,45.57,1.0,2785111.0,76.0,4.0,,2898,99.9,99.3,,100.0,,female gut,"isolated from the feces of adult Drosophila melanogaster, Oregon-R-modENCODE strain",2015-04-08,2015.0,,USA,,,,North America,USA:94710,,Drosophila melanogaster Oregon-R modENCODE,,,,,,,,,sample_type:gut,"Bacteria isolated from the feces of adult Drosophila melanogaster, Oregon-R-modENCODE strain.",2017-11-24T17:22:52.252Z,2017-11-24T17:22:52.252Z,female gut | ,False,False,
1580.239,Lactobacillus brevis strain NBRC 3345,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,NBRC 3345,,,,,,,,,,,,,,,,,NBRC:3345,,,Good,2018-01-12T00:00:00Z,,,PRJDB6042,SAMD00093684,GCA_002933755.1,,BEWS00000000,National Institute of Technology and Evaluation Biological Resource Center,WGS,Illumina HiSeq 1000,230x,newbler v. 3.0,,,47,2494980,45.927784,5.0,224770.0,48.0,3.0,,2497,99.6,99.1,,100.0,,,,,,,,,,,,,,,,,,,,,,,,"The NBRC Whole Genome Shotgun Project aims to provide ""reference genomes"" of NBRC culture collection strains for identifying useful genes for taxonomic classification, risk/safety assessment, and industrial application, and for understanding the structure and evolution of microbial genomes. One of our goals is to sequence 2,000 representative strains in the NBRC culture collection. The sequence information will be released to the society through the NBRC web site (http://www.nite.go.jp/en/nbrc/genome/index.html) and DDBJ/EMBL/GenBank databases.",2018-05-25T23:45:21.031Z,2018-05-25T23:45:21.031Z, | ,False,False,
1580.240,Lactobacillus brevis strain DM9218,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,DM9218,,,,,,,,,,,,,,,,,,,,Good,2018-04-23T00:00:00Z,,,PRJNA448655,SAMN08862052,GCA_003060705.1,,QAJZ00000000,Dalian Medical University,WGS,Illumina MiSeq,400.0x,AllPaths v. June-2015,,,10,2649463,45.743313,1.0,2331362.0,62.0,,,2732,99.8,99.3,,100.0,,sauerkraut,,2013-09-15,2013.0,,China,,,,Asia,China: Dalian,,,,,,,,,,,sample_type:mixed culture,Lactobacillius brevis,2018-05-30T19:21:15.162Z,2018-05-30T19:21:15.162Z,sauerkraut | ,False,False,
1580.241,Lactobacillus brevis strain DS1_5,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,DS1_5,,,,,,,,,,,,,,,,,,,,Good,2018-04-17T00:00:00Z,,,PRJNA336518,SAMN05942004,GCA_003053125.1,,QAZW00000000,USFDA,WGS,Illumina MiSeq,43.2x,SPAdes v. 3.8.2,,,90,2242019,46.075836,12.0,58055.0,59.0,5.0,,2329,99.8,99.6,,100.0,,Commercial dietary supplements,,2016-02-05,2016.0,,USA,Maryland,,,North America,USA:MD,,"Human, Homo sapiens",Human,,,,Human,,,,sample_type:Single cell,Creation of a genome sequence database of live microorganisms found in dietary supplements and cultured foods to be used for strain verification and characterization.,2018-05-30T20:21:10.007Z,2018-05-30T20:21:10.007Z,commercial dietary supplements | ,False,False,
1580.278,Lactobacillus brevis strain ZLB004,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,ZLB004,,,,,,,,,,,,,,,,,,,,Good,2018-06-04T00:00:00Z,,,PRJNA362271,SAMN06237125,GCA_003184305.1,,"CP021456,CP021457,CP021458,CP021459,CP021460,CP021461",Beijing Academy of Agriculture and Forestry Sciences,Complete,PacBio,243.7x,SOAPdenovo v. 2.04,,5.0,6,2655087,45.646942,1.0,2443996.0,65.0,5.0,,2705,99.8,98.7,0.1,100.0,,feces,,2010-07-01,2010.0,,China,,,,Asia,China,env_biome:pig's feces,"Pig, Sus scrofa",Pig,,,,Nonhuman Mammal,,,,,To reveal the bacteria related to CRC,2018-07-15T21:02:14.616Z,2018-07-15T21:02:14.616Z,feces | env_biome:pig's feces,False,False,
1580.279,Lactobacillus brevis strain TUCO-5E,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,TUCO-5E,,,,,,,,,,,,,,,,,,,,Good,2018-07-06T00:00:00Z,,,PRJNA475473,SAMN09389956,GCA_003289085.1,,QMCB00000000,CERELA,WGS,Illumina MiSeq,81.0x,SPAdes v. 3.11.1,,,47,2461089,45.796074,7.0,117553.0,60.0,8.0,,2485,99.8,99.5,,100.0,,milk,,2012-10,2012.0,,Chile,,,,South America,"Chile: Region del Bio Bio, Bulnes",,"Pig, Sus scrofa",Pig,,,,Nonhuman Mammal,,,,sample_type:bacterial culture,Isolation of probiotic bacteria from swine milk,2018-07-16T11:43:21.856Z,2018-07-16T11:43:21.856Z,milk | ,False,False,
1580.280,Lactobacillus brevis strain NCTC13768,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,NCTC13768,,,,,,,,,,,,,,,,,,,Representative,Good,2018-06-17T00:00:00Z,,,PRJEB6403,SAMEA3919799,GCA_900475625.1,,LS483405,SC,Complete,,,,,,1,2494328,46.000126,1.0,2494328.0,66.0,15.0,,2465,99.7,99.1,,100.0,,,,,,,,,,,,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,2018-07-16T22:53:28.280Z,2018-07-16T22:53:28.280Z, | ,False,False,
1580.284,Lactobacillus brevis strain WIKIM12,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,WIKIM12,,,,,,,,,,,,,,,,,,,,Good,2018-07-30T00:00:00Z,,,PRJNA407020,SAMN07637934,GCA_003345725.1,,QQPA00000000,World Institute of Kimchi,WGS,Illumina MiSeq,527.89x,CLC Genomics Workbench v. 6.5.1,,,109,2601591,45.39149,11.0,82707.0,66.0,6.0,,2819,99.6,99.2,,100.0,,kimchi,,,,,South Korea,,,,Asia,South Korea,,,,,,,,,,,,"The genomic data of Lactobacillus brevis WIKIM12 was obtained using the MiSeq platform. The draft genome of Lactobacillus brevis WIKIM12 contains 2,601,946 bp. Detailed genomic analyses will give further information and insight into the metabolism of bacterial species.",2018-09-30T01:41:14.391Z,2018-09-30T01:41:14.391Z,kimchi | ,False,False,
1580.285,Lactobacillus brevis strain KMB_615,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,KMB_615,,,,,,,,,,,,,,,,,,,,Good,2018-07-30T00:00:00Z,,,PRJNA474823,SAMN09398947,GCA_003346095.1,,QMJO00000000,Faculty of Natural Sciences of the Comenius University in Bratislava,WGS,Illumina MiSeq,174x,SPAdes v. 3.10.1,,,122,2441695,45.94083,17.0,47313.0,64.0,1.0,,2525,99.8,99.4,,100.0,,bryndza cheese,isolated from bryndza cheese were selected and submitted for comparative genomics,2008,2008.0,,Slovakia,,,,Europe,Slovakia,env_biome:farm,,,,,,,,,,sample_type:pure culture,Twenty one representative strains of lactic acid bacteria isolated from bryndza cheese were selected and submitted for comparative genomics. The aim was to genetically characterise the lactic acid bacteria strains in order to use them in mixed starter cultures for bryndza cheese manufacture.,2018-09-30T01:51:15.950Z,2018-09-30T01:51:15.950Z,bryndza cheese | env_biome:farm,False,False,
1580.286,Lactobacillus brevis strain KMB_620,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,KMB_620,,,,,,,,,,,,,,,,,,,,Good,2018-07-30T00:00:00Z,,,PRJNA474823,SAMN09398952,GCA_003346245.1,,QMJT00000000,Faculty of Natural Sciences of the Comenius University in Bratislava,WGS,Illumina MiSeq,111x,SPAdes v. 3.10.1,,,92,2356510,46.006847,12.0,59866.0,42.0,1.0,,2389,99.9,99.6,,100.0,,bryndza cheese,isolated from bryndza cheese were selected and submitted for comparative genomics,2008,2008.0,,Slovakia,,,,Europe,Slovakia,env_biome:farm,,,,,,,,,,sample_type:pure culture,Twenty one representative strains of lactic acid bacteria isolated from bryndza cheese were selected and submitted for comparative genomics. The aim was to genetically characterise the lactic acid bacteria strains in order to use them in mixed starter cultures for bryndza cheese manufacture.,2018-09-30T01:53:39.078Z,2018-09-30T01:53:39.078Z,bryndza cheese | env_biome:farm,False,False,
1580.287,Lactobacillus brevis strain NCTC13386,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,NCTC13386,,,,,,,,,,,,,,,,,,,,Good,2018-07-31T00:00:00Z,,,PRJEB6403,SAMEA44532418,GCA_900452615.1,,UGNS00000000,SC,WGS,,,,,,5,2553592,45.95734,1.0,2452435.0,64.0,15.0,,2523,99.6,98.9,,100.0,,,,,,,,,,,,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,2018-10-04T04:42:41.599Z,2018-10-04T04:42:41.599Z, | ,False,False,
1580.288,Lactobacillus brevis strain CD0817,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,CD0817,,,,,,,,,,,,,,,,,,,,Poor,2018-10-18T00:00:00Z,,,PRJNA495163,SAMN10220855,GCA_003666485.1,,"CP032931,CP032932,CP032933,CP032934,CP032935",Nanchang University,Complete,Illumina HiSeq,137.0x,SOAPdenovo v. 2.04,,4.0,5,3097074,50.34582,,2990570.0,51.0,5.0,,3076,95.72,95.06,0.7,98.11,Low PLfam CDS ratio,healthy adult male gut,,2013-10,2013.0,,China,,,,Asia,China: Jiangxi,,,,,,,,,,,sample_type:unicellular organism,High gamma-aminobutyric acid (GABA)-producing lactic acid bacterium;missing tRNA genes;validation errors,2018-11-29T02:29:05.453Z,2018-11-29T02:29:05.453Z,healthy adult male gut | ,False,False,
1580.289,Lactobacillus brevis strain LMT1-73,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,LMT1-73,,,,,,,,,,,,,,,,,,,,Good,2018-11-21T00:00:00Z,,,PRJNA505393,SAMN10417161,GCA_003813165.1,,"CP033885,CP033886,CP033887",Medytox,Complete,PacBio RSII,383.0x,SOAPdenovo v. August-2018,,2.0,3,2529623,45.87221,,2485914.0,66.0,15.0,,2467,96.93,95.84,,99.29,,kimchi,,2015,2015.0,,South Korea,,,,Asia,South Korea,,,,,,,,,,,sample_type:single cell,Common gastrointestinal bacterium used in food production,2018-11-30T03:14:35.426Z,2018-11-30T03:14:35.426Z,kimchi | ,False,False,
1580.305,Lactobacillus brevis strain DPC 6108,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,DPC 6108,,,,,,,,,,,,,,,,,,,,Good,2016-09-08T00:00:00Z,,,PRJNA339712,SAMN05603676,GCA_001722065.1,,MDUA00000000,University College Cork,WGS,PacBio,74.21x,INVIEW De Novo Genome v. 2.0,,,11,2884677,45.20811,1.0,2410217.0,76.0,5.0,,3044,96.75,95.48,,99.29,,fecal sample,,2012,2012.0,,Ireland,,,,Europe,Ireland,,"Human, Homo sapiens",Human,,,,Human,,,,"sample_type:cell culture;biomaterial_provider:Lab APC1, Teagasc Moorepark Food Research Centre, Fermoy, Cork, Ireland",Lactobcillus brevis DPC 6108 was sequenced after in vitro studies suggested probiotic potential,2019-07-16T15:58:54.618Z,2019-07-16T15:58:54.618Z,fecal sample | ,False,False,
1580.306,Lactobacillus brevis strain SRCM 103306,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,SRCM 103306,,,,,,,,,,,,,,,,,,,,Good,2019-01-19T00:00:00Z,,,PRJNA514956,SAMN10739548,GCA_004055405.1,,SBJN00000000,Chunlab,WGS,PacBio RSII; Illumina MiniSeq,198.52x,HGAP v. 2.3.0; PILON v. 1.22,,,6,2508273,45.62729,1.0,2312658.0,63.0,5.0,,2559,97.05,96.26,,99.29,,food,,2018,2018.0,,South Korea,,,,Asia,South Korea,,,,,,,,,,,sample_type:cell culture,Genome sequence of Lactobacillus brevis SRCM103306,2019-07-16T15:59:17.152Z,2019-07-16T15:59:17.152Z,food | ,False,False,
1580.307,Lactobacillus brevis strain UCCLBBS124,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,UCCLBBS124,,,,,,,,,,,,,,,,,,,,Good,2019-06-11T00:00:00Z,,,PRJNA429576,SAMN08351564,GCA_006228205.1,,"CP031169,CP031170,CP031171,CP031172,CP031173",University College Cork,Complete,PacBio,422.43x,SMRT portal v. v2.3.1,,4.0,5,2728238,45.580994,1.0,2612259.0,66.0,15.0,,2738,96.87,95.78,0.24,99.29,,Beer Keg,,2003,2003.0,,Singapore,,,,Asia,Singapore,,,,,,,,,,,,Genome sequence of beer spoiler strain Lactobacillus brevis UCCLBBS124,2019-07-16T16:02:50.447Z,2019-07-16T16:02:50.447Z,beer keg | ,True,True,positivo: cerveza/cerveceria
1580.308,Lactobacillus brevis strain SA-C12,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,SA-C12,,,,,,,,,,,,,,,,,,,,Good,2019-06-11T00:00:00Z,,,PRJNA429626,SAMN08354551,GCA_006228225.1,,"CP031185,CP031186,CP031187",University College Cork,Complete,PacBio,490.42x,SMRT portal v. v2.3.1,,2.0,3,2508862,45.73683,1.0,2440441.0,66.0,15.0,,2536,96.81,95.54,0.7,99.29,,,,,,,Ireland,,,,Europe,Ireland,,,,,,,,,,,,Genome sequence of the Lactobacillus brevis SA-C12,2019-07-16T16:02:28.099Z,2019-07-16T16:02:28.099Z, | ,False,False,
1580.309,Lactobacillus brevis strain UCCLB556,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,UCCLB556,,,,,,,,,,,,,,,,,,,,Good,2019-06-11T00:00:00Z,,,PRJNA429619,SAMN08354485,GCA_006228245.1,,"CP031174,CP031175,CP031176,CP031177,CP031178,CP031179,CP031180,CP031181",University College Cork,Complete,PacBio,323.55x,SMRT portal v. v2.3.1,,7.0,8,2561981,45.7133,1.0,2375367.0,68.0,18.0,,2587,97.05,95.78,0.94,99.29,,,,2014,2014.0,,Netherlands,,,,Europe,Netherlands,,,,,,,,,,,,Genome sequence of Lactobacillus brevis UCCLB556,2019-07-16T16:01:01.133Z,2019-07-16T16:01:01.133Z, | ,False,False,
1580.310,Lactobacillus brevis strain UCCLB95,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,UCCLB95,,,,,,,,,,,,,,,,,,,,Good,2019-06-11T00:00:00Z,,,PRJNA429618,SAMN08354483,GCA_006228265.1,,"CP031182,CP031183,CP031184",University College Cork,Complete,PacBio,186.82x,SMRT portal v. v2.3.1,,2.0,3,2528774,45.86717,1.0,2511216.0,65.0,15.0,,2572,96.99,95.84,1.17,99.05,,beer,,2001,2001.0,,Netherlands,,,,Europe,Netherlands,,,,,,,,,,,,Genome sequence of beer spoiler Lactobacillus brevis UCCLB95,2019-07-16T16:01:00.927Z,2019-07-16T16:01:00.927Z,beer | ,True,True,positivo: cerveza/cerveceria
1580.311,Lactobacillus brevis strain UCCLBBS449,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,UCCLBBS449,,,,,,,,,,,,,,,,,,,,Good,2019-06-11T00:00:00Z,,,PRJNA429617,SAMN08354482,GCA_006228285.1,,"CP031198,CP031199,CP031200,CP031201,CP031202,CP031203,CP031204,CP031205,CP031206,CP031207",University College Cork,Complete,PacBio,331.62x,SMRT portal v. v2.3.1,,9.0,10,2775071,45.418945,1.0,2582548.0,66.0,15.0,,2814,97.05,95.78,,99.29,,beer,,1994,1994.0,,Netherlands,,,,Europe,Netherlands,,,,,,,,,,,,Genome sequence of beer spoiler Lactobacillus brevis UCCLBBS449,2019-07-16T16:01:22.502Z,2019-07-16T16:01:22.502Z,beer | ,True,True,positivo: cerveza/cerveceria
1580.312,Lactobacillus brevis strain UCCLB521,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,UCCLB521,,,,,,,,,,,,,,,,,,,,Good,2019-06-11T00:00:00Z,,,PRJNA429624,SAMN08354550,GCA_006228305.1,,"CP031208,CP031209,CP031210,CP031211,CP031212,CP031213",University College Cork,Complete,PacBio,299.35x,SMRT portal v. v2.3.1,,5.0,6,2416054,45.89173,1.0,2266069.0,62.0,15.0,,2445,96.93,95.72,0.7,99.29,,,,2013,2013.0,,Netherlands,,,,Europe,Netherlands,,,,,,,,,,,,Genome sequence of Lactobacillus brevis UCCLB521,2019-07-16T16:01:47.831Z,2019-07-16T16:01:47.831Z, | ,False,False,
1580.315,Lactobacillus brevis strain TR169,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,TR169,,,,,,,,,,,,,,,,,,,,Good,2019-06-20T00:00:00Z,,,PRJNA470672,SAMN09099488,GCA_006381875.1,,QFDG00000000,Cork Institute of Technology,WGS,Illumina MiSeq,106x,SPAdes v. Jan-18,,,57,2391870,46.039543,8.0,101000.0,66.0,4.0,,2484,97.11,96.14,,99.29,,sourdough,,2016-03,2016.0,,Ireland,,,,Europe,Ireland: Cork,,,,,,,,,,,sample_type:pure culture,Genome sequencing of fermentation relevant microbes allows us to identify differences in the metabolism of different species and also to better apply the strains to fermentations.,2019-09-30T07:22:20.796Z,2019-09-30T07:22:20.796Z,sourdough | ,False,False,
1580.316,Lactobacillus brevis strain TR052,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,TR052,,,,,,,,,,,,,,,,,,,,Good,2019-06-20T00:00:00Z,,,PRJNA470672,SAMN09099483,GCA_006381935.1,,QFDL00000000,Cork Institute of Technology,WGS,Illumina MiSeq,96x,SPAdes v. Jan-18,,,56,2569807,45.651443,5.0,217259.0,66.0,7.0,,2675,96.87,96.2,,99.29,,sourdough,,2015-06,2015.0,,Ireland,,,,Europe,Ireland: Cork,,,,,,,,,,,sample_type:pure culture,Genome sequencing of fermentation relevant microbes allows us to identify differences in the metabolism of different species and also to better apply the strains to fermentations.,2019-09-30T07:24:48.061Z,2019-09-30T07:24:48.061Z,sourdough | ,False,False,
1580.317,Lactobacillus brevis strain TR055,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,TR055,,,,,,,,,,,,,,,,,,,,Good,2019-06-20T00:00:00Z,,,PRJNA470672,SAMN09099484,GCA_006382065.1,,QFDK00000000,Cork Institute of Technology,WGS,Illumina MiSeq,104x,SPAdes v. Jan-18,,,28,2477403,45.956635,5.0,176227.0,63.0,6.0,,2497,96.93,96.2,,99.29,,sourdough,,2015-06,2015.0,,Ireland,,,,Europe,Ireland: Cork,,,,,,,,,,,sample_type:pure culture,Genome sequencing of fermentation relevant microbes allows us to identify differences in the metabolism of different species and also to better apply the strains to fermentations.,2019-09-30T07:25:40.576Z,2019-09-30T07:25:40.576Z,sourdough | ,False,False,
1580.318,Lactobacillus brevis strain NBRC 3960,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,NBRC 3960,,,,,,,,,,,,,,,,,NBRC:3960,,,Good,2019-06-13T00:00:00Z,,,PRJDB6016,SAMD00093697,GCA_006538845.1,,BJLW00000000,National Institute of Technology and Evaluation,WGS,Illumina HiSeq 1000,83x,newbler v. 3.0,,,125,2313728,46.124825,14.0,52102.0,35.0,3.0,,2386,96.99,95.96,0.24,99.29,,,,,,,,,,,,,,,,,,,,,,,,"The NBRC Whole Genome Shotgun Project aims to provide ""reference genomes"" of NBRC culture collection strains for identifying useful genes for taxonomic classification, risk/safety assessment, and industrial application, and for understanding the structure and evolution of microbial genomes. One of our goals is to sequence 2,000 representative strains in the NBRC culture collection. The sequence information will be released to the society through the NBRC web site (http://www.nite.go.jp/en/nbrc/genome/index.html) and DDBJ/EMBL/GenBank databases.",2019-09-30T12:50:15.134Z,2019-09-30T12:50:15.134Z, | ,False,False,
